"","type"
"192","PARTICIPATES_GpPW"
"193","PARTICIPATES_GpPW"
"194","PARTICIPATES_GpPW"
"195","PARTICIPATES_GpPW"
"196","PARTICIPATES_GpPW"
"197","PARTICIPATES_GpPW"
"198","PARTICIPATES_GpPW"
"199","DOWNREGULATES_CdG"
"200","PARTICIPATES_GpBP"
"201","EXPRESSES_AeG"
"202","BINDS_CbG"
"203","BINDS_CbG"
"204","BINDS_CbG"
"205","BINDS_CbG"
"206","BINDS_CbG"
"207","BINDS_CbG"
"208","BINDS_CbG"
"209","BINDS_CbG"
"210","BINDS_CbG"
"211","BINDS_CbG"
"212","BINDS_CbG"
"213","PARTICIPATES_GpPW"
"214","PARTICIPATES_GpPW"
"215","PARTICIPATES_GpPW"
"216","PARTICIPATES_GpPW"
"217","PARTICIPATES_GpPW"
"218","PARTICIPATES_GpPW"
"219","PARTICIPATES_GpPW"
"220","PARTICIPATES_GpPW"
"221","PARTICIPATES_GpPW"
"222","PARTICIPATES_GpPW"
"223","PARTICIPATES_GpPW"
"224","PARTICIPATES_GpPW"
"225","PARTICIPATES_GpPW"
"226","PARTICIPATES_GpPW"
"227","PARTICIPATES_GpPW"
"228","PARTICIPATES_GpPW"
"229","PARTICIPATES_GpPW"
"230","DOWNREGULATES_CdG"
"231","DOWNREGULATES_CdG"
"232","PARTICIPATES_GpPW"
"233","PARTICIPATES_GpPW"
"234","PARTICIPATES_GpPW"
"235","PARTICIPATES_GpPW"
"236","PARTICIPATES_GpPW"
"237","PARTICIPATES_GpPW"
"238","PARTICIPATES_GpPW"
"239","PARTICIPATES_GpPW"
"240","PARTICIPATES_GpPW"
"241","PARTICIPATES_GpPW"
"242","PARTICIPATES_GpPW"
"243","PARTICIPATES_GpPW"
"244","PARTICIPATES_GpPW"
"245","PARTICIPATES_GpPW"
"246","PARTICIPATES_GpPW"
"247","PARTICIPATES_GpPW"
"248","PARTICIPATES_GpPW"
"249","PARTICIPATES_GpPW"
"250","PARTICIPATES_GpPW"
"251","PARTICIPATES_GpPW"
"252","PARTICIPATES_GpPW"
"253","PARTICIPATES_GpPW"
"254","PARTICIPATES_GpPW"
"255","PARTICIPATES_GpPW"
"256","PARTICIPATES_GpPW"
"257","PARTICIPATES_GpPW"
"258","PARTICIPATES_GpPW"
"259","PARTICIPATES_GpPW"
"260","PARTICIPATES_GpPW"
"261","PARTICIPATES_GpPW"
"262","PARTICIPATES_GpPW"
"263","PARTICIPATES_GpPW"
"264","PARTICIPATES_GpPW"
"265","PARTICIPATES_GpPW"
"266","PARTICIPATES_GpPW"
"267","PARTICIPATES_GpPW"
"268","PARTICIPATES_GpPW"
"269","PARTICIPATES_GpPW"
"270","PARTICIPATES_GpPW"
"271","PARTICIPATES_GpPW"
"272","PARTICIPATES_GpPW"
"273","PARTICIPATES_GpPW"
"274","PARTICIPATES_GpPW"
"275","PARTICIPATES_GpPW"
"276","PARTICIPATES_GpPW"
"277","PARTICIPATES_GpPW"
"278","PARTICIPATES_GpPW"
"279","PARTICIPATES_GpPW"
"280","PARTICIPATES_GpPW"
"281","PARTICIPATES_GpPW"
"282","PARTICIPATES_GpPW"
"283","PARTICIPATES_GpPW"
"284","PARTICIPATES_GpPW"
"285","EXPRESSES_AeG"
"286","PARTICIPATES_GpBP"
"287","PARTICIPATES_GpBP"
"288","EXPRESSES_AeG"
"289","PARTICIPATES_GpPW"
"290","PARTICIPATES_GpPW"
"291","PARTICIPATES_GpPW"
"292","PARTICIPATES_GpPW"
"293","PARTICIPATES_GpPW"
"294","DOWNREGULATES_CdG"
"295","DOWNREGULATES_CdG"
"296","DOWNREGULATES_CdG"
"297","DOWNREGULATES_CdG"
"298","PARTICIPATES_GpPW"
"299","PARTICIPATES_GpPW"
"300","PARTICIPATES_GpPW"
"301","PARTICIPATES_GpPW"
"302","PARTICIPATES_GpPW"
"303","PARTICIPATES_GpPW"
"304","PARTICIPATES_GpPW"
"305","PARTICIPATES_GpPW"
"306","PARTICIPATES_GpPW"
"307","PARTICIPATES_GpPW"
"308","PARTICIPATES_GpPW"
"309","PARTICIPATES_GpPW"
"310","PARTICIPATES_GpPW"
"311","PARTICIPATES_GpPW"
"312","PARTICIPATES_GpPW"
"313","PARTICIPATES_GpPW"
"314","PARTICIPATES_GpPW"
"315","PARTICIPATES_GpPW"
"316","PARTICIPATES_GpPW"
"317","PARTICIPATES_GpPW"
"318","PARTICIPATES_GpPW"
"319","PARTICIPATES_GpPW"
"320","PARTICIPATES_GpPW"
"321","PARTICIPATES_GpPW"
"322","PARTICIPATES_GpPW"
"323","PARTICIPATES_GpPW"
"324","PARTICIPATES_GpPW"
"325","PARTICIPATES_GpPW"
"326","PARTICIPATES_GpPW"
"327","PARTICIPATES_GpPW"
"328","PARTICIPATES_GpPW"
"329","PARTICIPATES_GpPW"
"330","PARTICIPATES_GpPW"
"331","PARTICIPATES_GpPW"
"332","PARTICIPATES_GpPW"
"333","PARTICIPATES_GpPW"
"334","PARTICIPATES_GpPW"
"335","PARTICIPATES_GpPW"
"336","PARTICIPATES_GpPW"
"337","PARTICIPATES_GpPW"
"338","PARTICIPATES_GpPW"
"339","PARTICIPATES_GpPW"
"340","PARTICIPATES_GpPW"
"341","PARTICIPATES_GpPW"
"342","PARTICIPATES_GpPW"
"343","PARTICIPATES_GpPW"
"344","PARTICIPATES_GpPW"
"345","PARTICIPATES_GpPW"
"346","PARTICIPATES_GpPW"
"347","PARTICIPATES_GpPW"
"348","PARTICIPATES_GpPW"
"349","PARTICIPATES_GpPW"
"350","PARTICIPATES_GpPW"
"351","PARTICIPATES_GpPW"
"352","PARTICIPATES_GpPW"
"353","PARTICIPATES_GpPW"
"354","PARTICIPATES_GpPW"
"355","PARTICIPATES_GpPW"
"356","PARTICIPATES_GpPW"
"357","PARTICIPATES_GpPW"
"358","PARTICIPATES_GpPW"
"359","PARTICIPATES_GpPW"
"360","PARTICIPATES_GpPW"
"361","PARTICIPATES_GpPW"
"362","PARTICIPATES_GpPW"
"363","PARTICIPATES_GpPW"
"364","PARTICIPATES_GpPW"
"365","PARTICIPATES_GpPW"
"366","PARTICIPATES_GpPW"
"367","PARTICIPATES_GpPW"
"368","PARTICIPATES_GpPW"
"369","PARTICIPATES_GpPW"
"370","PARTICIPATES_GpPW"
"371","PARTICIPATES_GpPW"
"372","PARTICIPATES_GpPW"
"373","PARTICIPATES_GpPW"
"374","PARTICIPATES_GpPW"
"375","PARTICIPATES_GpPW"
"376","PARTICIPATES_GpPW"
"377","PARTICIPATES_GpPW"
"378","PARTICIPATES_GpPW"
"379","PARTICIPATES_GpPW"
"380","EXPRESSES_AeG"
"381","PARTICIPATES_GpBP"
"382","PARTICIPATES_GpBP"
"383","EXPRESSES_AeG"
"384","PARTICIPATES_GpPW"
"385","PARTICIPATES_GpPW"
"386","PARTICIPATES_GpPW"
"387","PARTICIPATES_GpPW"
"388","PARTICIPATES_GpPW"
"389","PARTICIPATES_GpPW"
"390","PARTICIPATES_GpPW"
"391","PARTICIPATES_GpPW"
"392","PARTICIPATES_GpPW"
"393","PARTICIPATES_GpPW"
"394","PARTICIPATES_GpPW"
"395","PARTICIPATES_GpPW"
"396","PARTICIPATES_GpPW"
"397","PARTICIPATES_GpPW"
"398","PARTICIPATES_GpPW"
"399","PARTICIPATES_GpPW"
"400","PARTICIPATES_GpPW"
"401","PARTICIPATES_GpPW"
"402","PARTICIPATES_GpPW"
"403","PARTICIPATES_GpPW"
"404","PARTICIPATES_GpPW"
"405","PARTICIPATES_GpPW"
"406","PARTICIPATES_GpPW"
"407","PARTICIPATES_GpPW"
"408","PARTICIPATES_GpPW"
"409","PARTICIPATES_GpPW"
"410","PARTICIPATES_GpPW"
"411","PARTICIPATES_GpPW"
"412","PARTICIPATES_GpPW"
"413","PARTICIPATES_GpPW"
"414","DOWNREGULATES_CdG"
"415","DOWNREGULATES_CdG"
"416","EXPRESSES_AeG"
"417","DOWNREGULATES_CdG"
"418","DOWNREGULATES_CdG"
"419","PARTICIPATES_GpBP"
"420","EXPRESSES_AeG"
"421","BINDS_CbG"
"422","PARTICIPATES_GpPW"
"423","PARTICIPATES_GpPW"
"424","PARTICIPATES_GpPW"
"425","PARTICIPATES_GpPW"
"426","PARTICIPATES_GpPW"
"427","PARTICIPATES_GpPW"
"428","PARTICIPATES_GpPW"
"429","PARTICIPATES_GpPW"
"430","DOWNREGULATES_CdG"
"431","DOWNREGULATES_CdG"
"432","DOWNREGULATES_CdG"
"433","PARTICIPATES_GpBP"
"434","EXPRESSES_AeG"
"435","PARTICIPATES_GpPW"
"436","PARTICIPATES_GpPW"
"437","PARTICIPATES_GpPW"
"438","PARTICIPATES_GpPW"
"439","PARTICIPATES_GpPW"
"440","DOWNREGULATES_CdG"
"441","PARTICIPATES_GpBP"
"442","EXPRESSES_AeG"
"443","DOWNREGULATES_CdG"
"444","PARTICIPATES_GpBP"
"445","EXPRESSES_AeG"
"446","PARTICIPATES_GpPW"
"447","PARTICIPATES_GpPW"
"448","DOWNREGULATES_CdG"
"449","EXPRESSES_AeG"
"450","DOWNREGULATES_CdG"
"451","EXPRESSES_AeG"
"452","DOWNREGULATES_CdG"
"453","EXPRESSES_AeG"
"454","DOWNREGULATES_CdG"
"455","PARTICIPATES_GpBP"
"456","EXPRESSES_AeG"
"457","PARTICIPATES_GpPW"
"458","PARTICIPATES_GpPW"
"459","PARTICIPATES_GpPW"
"460","PARTICIPATES_GpPW"
"461","PARTICIPATES_GpPW"
"462","DOWNREGULATES_CdG"
"463","DOWNREGULATES_CdG"
"464","PARTICIPATES_GpBP"
"465","EXPRESSES_AeG"
"466","BINDS_CbG"
"467","BINDS_CbG"
"468","BINDS_CbG"
"469","BINDS_CbG"
"470","BINDS_CbG"
"471","BINDS_CbG"
"472","PARTICIPATES_GpPW"
"473","PARTICIPATES_GpPW"
"474","PARTICIPATES_GpPW"
"475","PARTICIPATES_GpPW"
"476","PARTICIPATES_GpPW"
"477","PARTICIPATES_GpPW"
"478","PARTICIPATES_GpPW"
"479","PARTICIPATES_GpPW"
"480","PARTICIPATES_GpPW"
"481","PARTICIPATES_GpPW"
"482","PARTICIPATES_GpPW"
"483","PARTICIPATES_GpPW"
"484","PARTICIPATES_GpPW"
"485","PARTICIPATES_GpPW"
"486","PARTICIPATES_GpPW"
"487","PARTICIPATES_GpPW"
"488","PARTICIPATES_GpPW"
"489","PARTICIPATES_GpPW"
"490","PARTICIPATES_GpPW"
"491","PARTICIPATES_GpPW"
"492","PARTICIPATES_GpPW"
"493","PARTICIPATES_GpPW"
"494","PARTICIPATES_GpPW"
"495","PARTICIPATES_GpPW"
"496","PARTICIPATES_GpPW"
"497","PARTICIPATES_GpPW"
"498","PARTICIPATES_GpPW"
"499","PARTICIPATES_GpPW"
"500","PARTICIPATES_GpPW"
"501","PARTICIPATES_GpPW"
"502","PARTICIPATES_GpPW"
"503","PARTICIPATES_GpPW"
"504","PARTICIPATES_GpPW"
"505","PARTICIPATES_GpPW"
"506","PARTICIPATES_GpPW"
"507","DOWNREGULATES_CdG"
"508","PARTICIPATES_GpBP"
"509","EXPRESSES_AeG"
"510","BINDS_CbG"
"511","PARTICIPATES_GpPW"
"512","PARTICIPATES_GpPW"
"513","PARTICIPATES_GpPW"
"514","DOWNREGULATES_CdG"
"515","DOWNREGULATES_CdG"
"516","PARTICIPATES_GpBP"
"517","EXPRESSES_AeG"
"518","BINDS_CbG"
"519","PARTICIPATES_GpPW"
"520","PARTICIPATES_GpPW"
"521","PARTICIPATES_GpPW"
"522","PARTICIPATES_GpPW"
"523","PARTICIPATES_GpPW"
"524","PARTICIPATES_GpPW"
"525","PARTICIPATES_GpPW"
"526","PARTICIPATES_GpPW"
"527","PARTICIPATES_GpPW"
"528","PARTICIPATES_GpPW"
"529","PARTICIPATES_GpPW"
"530","PARTICIPATES_GpPW"
"531","PARTICIPATES_GpPW"
"532","PARTICIPATES_GpPW"
"533","PARTICIPATES_GpPW"
"534","PARTICIPATES_GpPW"
"535","PARTICIPATES_GpPW"
"536","PARTICIPATES_GpPW"
"537","PARTICIPATES_GpPW"
"538","PARTICIPATES_GpPW"
"539","PARTICIPATES_GpPW"
"540","PARTICIPATES_GpPW"
"541","PARTICIPATES_GpPW"
"542","PARTICIPATES_GpPW"
"543","PARTICIPATES_GpPW"
"544","PARTICIPATES_GpPW"
"545","PARTICIPATES_GpPW"
"546","PARTICIPATES_GpPW"
"547","PARTICIPATES_GpPW"
"548","PARTICIPATES_GpPW"
"549","PARTICIPATES_GpPW"
"550","PARTICIPATES_GpPW"
"551","DOWNREGULATES_CdG"
"552","PARTICIPATES_GpBP"
"553","EXPRESSES_AeG"
"554","PARTICIPATES_GpPW"
"555","PARTICIPATES_GpPW"
"556","PARTICIPATES_GpPW"
"557","PARTICIPATES_GpPW"
"558","PARTICIPATES_GpPW"
"559","PARTICIPATES_GpPW"
"560","PARTICIPATES_GpPW"
"561","PARTICIPATES_GpPW"
"562","PARTICIPATES_GpPW"
"563","PARTICIPATES_GpPW"
"564","PARTICIPATES_GpPW"
"565","PARTICIPATES_GpPW"
"566","PARTICIPATES_GpPW"
"567","DOWNREGULATES_CdG"
"568","PARTICIPATES_GpBP"
"569","EXPRESSES_AeG"
"570","PARTICIPATES_GpPW"
"571","PARTICIPATES_GpPW"
"572","PARTICIPATES_GpPW"
"573","PARTICIPATES_GpPW"
"574","PARTICIPATES_GpPW"
"575","PARTICIPATES_GpPW"
"576","PARTICIPATES_GpPW"
"577","PARTICIPATES_GpPW"
"578","PARTICIPATES_GpPW"
"579","PARTICIPATES_GpPW"
