"","Aspects","Statistics"
"1","Nodes",17535
"2","Genes",13730
"3","Pathway",1449
"4","nBiologicalProcess",1026
"5","Relationships",94950
"6","nDisease",1
"7","nCompound",1313
"8","gRd",42
"9","dRa",16
"10","aRg",13695
"11","gRb",11187
"12","gRp",13376
